temporada,episodio,nombre_episodio,frase,personaje
1,11, The Limo," Yeah, that's right...a limo.",Ted
1,11, The Limo," Oh, man, Ted, this is great.",Robin
1,11, The Limo," Okay, people, let's talk strategy. Last new years, we went our separate ways, and it sucked. This year we party together or not at all. Now, I sifted through your party submission and I narrowed them down to these five.",Ted
1,11, The Limo, Question?,Barney
1,11, The Limo," Yes, Barney, your submissions were received and no, we will not be attending any parties in your pants.",Ted
1,11, The Limo," But you enjoyed the e-vite, right? Thas an actual picture of my pants.",Barney
1,11, The Limo, Yeah.,Lily
1,11, The Limo," We will hit all five parties before midnight, and then narrow them down to one, the most awesome party in New York City and that is where we will ring, nay rock, in the new year.",Ted
1,11, The Limo," All right, and party number one that's where we get to meet Mary Beth?",Lily
1,11, The Limo, Mary Beth?,Robin
1,11, The Limo," Oh, she works in my office. She seems like she might be into me. She's always finding reasons to hug me. So tonight...",Ted
1,11, The Limo," People often ask me ""Barney, how is it that you're so psyched so much of the time?""",Barney
1,11, The Limo, By who? Who asks you that?,Lily
1,11, The Limo," And the answer is right here... my own, personal ""get psyched"" mix. Now, people often think a good mix should rise and fall, but people are wrong. It should be all rise, baby. Now prepare yourselves for an audio journey into the white-hot center of adrenaline. Bam.",Barney
1,11, The Limo, It's working.,Lily
1,11, The Limo, I am definitely getting psyched.,Ted
1,11, The Limo," Oh, God. I'm reaching dangerous levels of psychage. Must do robot.",Marshall
1,11, The Limo, Let's do this!,Barney
1,11, The Limo," Yes! Let's! Oh, driver?",Ted
1,11, The Limo," Ranjit! Dude, you're driving a limo now. That's awesome.",Barney
1,11, The Limo, I've moved up in the world.,Ranjit
1,11, The Limo, How do you guys know each other?,Robin
1,11, The Limo," Oh, we rode in his cab one time. It's a long story.",Ted
1,11, The Limo," Hey, what are we waiting for? We got five parties to hit, and three hours to do it.",Barney
1,11, The Limo," Oh, I wish I could come with you guys but Derek should be coming by any minute to pick me up.",Robin
1,11, The Limo," Oh, yeah, Robin was spending New Year's with her boyfriend, Derek. Derek. He was like rich, successful, handsome. I hated that guy.",Future Ted(Narrator)
1,11, The Limo," Oh, I'll miss you guys. Have fun.",Robin
1,11, The Limo, Bye.,Lily
1,11, The Limo, See ya next year. Go get 'em.,Ted
1,11, The Limo," Well, this kind of sucks.",Lily
1,11, The Limo," Okay, nobody get down. We knew this going in. We're a man down. That just means we're gonna have to party that much harder. Ranjit! Party number one.",Ted
1,11, The Limo, Party number one!,Ranjit
1,11, The Limo, Party number one!,Barney
1,11, The Limo," I can't believe we're leaving a party that had pigs in blankets. If you think we can beat that, you got some brass ones.",Marshall
1,11, The Limo," Hey, we've got four more parties to hit. If party number one turns out to be the best, we'll just limo on back to it.",Ted
1,11, The Limo," We didn't really get a chance to meet. I'm Lily, and this is my fiance, Marshall.",Lily
1,11, The Limo, My word.,Marshall
1,11, The Limo," You're, you're friendly.",Lily
1,11, The Limo," Oh, no.",Lily
1,11, The Limo," So, Barney, who's your new friend?",Ted
1,11, The Limo, Natalya.,Barney
1,11, The Limo," So, where are you from, Natalya?",Lily
1,11, The Limo, She... Who knows? The former Soviet Republic of Drunk-Off-Her-Ass-Istan?,Barney
1,11, The Limo, Isn't she awesome?,Barney
1,11, The Limo," How are your feet doing, baby?",Marshall
1,11, The Limo," Okay, I love these shoes, but the pain-to-hotness ratio is pretty steep. Can we swing by the apartment, so I can change?",Lily
1,11, The Limo," Come on, Lily, we have a tightly scheduled evening of awesomeness ahead of us. I need you to power through the pain.",Ted
1,11, The Limo," Okay, Ted, but these dogs are really barking.",Lily
1,11, The Limo," It's true. I can hear them. What's that, little boys? What's that? You wanna go for a... rock?",Barney
1,11, The Limo, Ranjit! Party number two.,Ted
1,11, The Limo, Party number two.,Ranjit
1,11, The Limo, Party number two? Not so good.,Ted
1,11, The Limo, Let's go back to party number one.,Marshall
1,11, The Limo," No, no turning back. Ranjit, party number three.",Ted
1,11, The Limo, Party number three. Yeah.,Ranjit
1,11, The Limo," Oh, wait, wait, wait. We have to turn around. We left Natalya.",Barney
1,11, The Limo," Barney, none of us really liked her.",Lily
1,11, The Limo, What?!,Barney
1,11, The Limo, Sorry.,Lily
1,11, The Limo," Oh, very nice, Lily. You know, she is a guest in this country. So while you may chose to turn your back on her, I choose to turn my front on her. What up?",Barney
1,11, The Limo, I'm sorry about Barney.,Ted
1,11, The Limo," Me, too.  Hey, Robin.",Ted
1,11, The Limo," Ted, Derek stood me up.",Robin
1,11, The Limo," Pfft. Derek. Now, we had a tight schedule to keep that night and I was already on a date with another girl. But... it was Robin.",Future Ted(Narrator)
1,11, The Limo," Ranjit, turn it around.",Ted
1,11, The Limo," Oh, God, I'm so sorry about this. You guys had your schedule and I screwed it all up.",Robin
